epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,919.372,0.00905,0.75404,0.90798,0.65231,0.64124,0.68862,0.44773,0.0097,0.63938,1.02989,0.000795205,0.000795205,0.000795205
43,941.089,0.00904,0.76272,0.92153,0.61466,0.66851,0.71675,0.45056,0.00972,0.64531,1.0408,0.00079021,0.00079021,0.00079021
44,962.653,0.00905,0.75016,0.90933,0.67066,0.66543,0.715,0.45011,0.00932,0.62915,0.98639,0.000785215,0.000785215,0.000785215
45,984.206,0.00881,0.6768,0.90831,0.6919,0.63502,0.68925,0.46887,0.00901,0.59078,0.97613,0.00078022,0.00078022,0.00078022
46,1006.64,0.00848,0.69897,0.87829,0.69718,0.67797,0.71094,0.46638,0.00951,0.66446,1.01152,0.000775225,0.000775225,0.000775225
47,1028.13,0.00866,0.69575,0.90093,0.6597,0.6482,0.69491,0.42086,0.01045,0.64699,1.04004,0.00077023,0.00077023,0.00077023
48,1049.5,0.00865,0.70522,0.86657,0.67569,0.61202,0.67603,0.44979,0.00924,0.62302,0.99361,0.000765235,0.000765235,0.000765235
49,1070.96,0.0085,0.62861,0.86623,0.61822,0.65313,0.65667,0.404,0.0098,0.6916,1.02682,0.00076024,0.00076024,0.00076024
50,1092.38,0.0088,0.69262,0.89738,0.6886,0.64923,0.68547,0.43708,0.00922,0.66854,0.94359,0.000755245,0.000755245,0.000755245
51,1113.95,0.00877,0.73051,0.91298,0.59011,0.66802,0.6983,0.4521,0.00934,0.62283,0.96175,0.00075025,0.00075025,0.00075025
52,1135.28,0.00838,0.64016,0.87626,0.74192,0.63334,0.70914,0.47199,0.00929,0.6201,0.98664,0.000745255,0.000745255,0.000745255
53,1157.6,0.00828,0.66462,0.86487,0.67024,0.69815,0.69836,0.46409,0.00937,0.6939,1.01234,0.00074026,0.00074026,0.00074026
54,1178.69,0.00834,0.64977,0.85565,0.76067,0.67499,0.72485,0.44409,0.00953,0.62811,1.00396,0.000735265,0.000735265,0.000735265
55,1199.82,0.0081,0.63673,0.84975,0.6581,0.70097,0.69081,0.43869,0.00974,0.57247,1.01092,0.00073027,0.00073027,0.00073027
56,1221.36,0.00827,0.65631,0.86431,0.655,0.68777,0.72404,0.45979,0.00946,0.58471,1.01319,0.000725275,0.000725275,0.000725275
57,1242.84,0.00812,0.65855,0.86441,0.73019,0.61199,0.68703,0.43294,0.0093,0.65113,0.99879,0.00072028,0.00072028,0.00072028
58,1264.25,0.0085,0.7079,0.89446,0.69866,0.68061,0.74597,0.49264,0.00865,0.61557,0.9284,0.000715285,0.000715285,0.000715285
59,1286.71,0.00783,0.62836,0.82379,0.68685,0.67844,0.72253,0.5099,0.00832,0.58973,0.89951,0.00071029,0.00071029,0.00071029
60,1309.05,0.00803,0.6499,0.85996,0.73402,0.71916,0.75243,0.51816,0.00832,0.57766,0.94292,0.000705295,0.000705295,0.000705295
61,1331.5,0.00776,0.5802,0.79901,0.74533,0.69364,0.72989,0.49553,0.00845,0.58931,0.94808,0.0007003,0.0007003,0.0007003
62,1352.87,0.00776,0.6195,0.82213,0.78184,0.69121,0.73703,0.48711,0.00869,0.55838,0.9737,0.000695305,0.000695305,0.000695305
63,1374.15,0.00857,0.62406,0.87145,0.72781,0.69045,0.7436,0.4551,0.00919,0.5378,0.97441,0.00069031,0.00069031,0.00069031
64,1395.55,0.00784,0.62411,0.8269,0.70925,0.60772,0.6999,0.46107,0.00938,0.62083,0.99609,0.000685315,0.000685315,0.000685315
65,1416.94,0.00799,0.62793,0.83139,0.69537,0.64673,0.70347,0.49416,0.00843,0.55908,0.95809,0.00068032,0.00068032,0.00068032
66,1438.26,0.00765,0.58097,0.83784,0.74509,0.7016,0.72144,0.48844,0.00887,0.88737,0.97504,0.000675325,0.000675325,0.000675325
67,1459.49,0.00773,0.56119,0.8073,0.67481,0.64738,0.69617,0.47521,0.0089,0.60881,0.97588,0.00067033,0.00067033,0.00067033
68,1480.63,0.00802,0.58664,0.83132,0.67166,0.6552,0.71192,0.4637,0.00895,0.57245,0.96387,0.000665335,0.000665335,0.000665335
69,1502.15,0.00791,0.61332,0.83885,0.75142,0.65705,0.72987,0.49727,0.00907,0.52664,0.96037,0.00066034,0.00066034,0.00066034
70,1523.4,0.00739,0.5917,0.82132,0.76461,0.7096,0.74025,0.46699,0.0092,0.52784,0.97627,0.000655345,0.000655345,0.000655345
71,1544.68,0.00809,0.66573,0.85754,0.77081,0.61156,0.70081,0.48331,0.00847,0.50464,0.96051,0.00065035,0.00065035,0.00065035
72,1566.11,0.00743,0.59514,0.8006,0.77396,0.60822,0.71056,0.49765,0.00828,0.55926,0.91239,0.000645355,0.000645355,0.000645355
73,1587.19,0.00766,0.60783,0.82788,0.74085,0.62049,0.71262,0.47971,0.00905,0.5493,0.98133,0.00064036,0.00064036,0.00064036
74,1608.62,0.00797,0.60619,0.83436,0.76812,0.71029,0.75641,0.49727,0.00889,0.51386,0.961,0.000635365,0.000635365,0.000635365
75,1629.76,0.00738,0.55657,0.78023,0.68982,0.71466,0.72386,0.48274,0.00898,0.51396,0.95777,0.00063037,0.00063037,0.00063037
76,1651.01,0.00756,0.62697,0.80947,0.79301,0.65717,0.74265,0.48752,0.00859,0.50415,0.92853,0.000625375,0.000625375,0.000625375
77,1672.25,0.0075,0.53569,0.81636,0.72532,0.68175,0.72199,0.49847,0.00826,0.54476,0.91443,0.00062038,0.00062038,0.00062038
78,1693.46,0.00734,0.53865,0.79252,0.77869,0.70989,0.75395,0.51576,0.00832,0.51139,0.93329,0.000615385,0.000615385,0.000615385
79,1714.69,0.00781,0.57364,0.83618,0.6678,0.72269,0.73052,0.49518,0.00855,0.54123,0.92752,0.00061039,0.00061039,0.00061039
80,1735.91,0.00751,0.57347,0.80794,0.71376,0.63822,0.69364,0.48746,0.00858,0.53874,0.94499,0.000605395,0.000605395,0.000605395
81,1756.86,0.00772,0.56866,0.80343,0.73918,0.65618,0.73113,0.5032,0.00867,0.53383,0.93155,0.0006004,0.0006004,0.0006004
82,1777.87,0.00701,0.54415,0.77212,0.78169,0.68154,0.75744,0.53488,0.00836,0.52212,0.9089,0.000595405,0.000595405,0.000595405
